number, id, lat, lon
182,S101386,34.699601,113.829392
183,S101393,10.714105,106.945177
184,S101411,36.42325949,140.5402886
185,S101421,36.31286839,139.2144193
186,S101422,36.26500163,139.2225261
187,S101418,36.42325949,140.5402886
188,S101478,36.43675723,140.5264546
189,S101416,34.92686532,135.1571913
190,S101419,35.44155685,139.3432884
191,S101420,35.4659611,139.3192146
192,S101428,39.35364317,140.545387
193,S101429,36.04176572,139.372817
194,S101427,33.58242816,131.1683588
195,S101433,35.62109855,138.484584
196,S101424,39.33002493,141.029903
197,S101437,37.06445821,140.3907996
198,S101480,39.471626,140.586987
199,S101434,37.84206536,140.501207
200,S101432,35.45226308,139.4108666
201,S101415,37.35969357,140.3945457
202,S101443,20.38951,-99.99669
203,S101449,47.41521545,19.75168829
204,S101452,22.967165,113.916374
205,S101456,12.98088715,101.2489593
206,S101459,37.77754044,-84.84212185
207,S101473,37.60365168,-84.30974447
208,S101467,33.80579387,-83.67438742
209,S101465,19.2874767,-99.51158
210,S101485,20.82904,-100.418142
211,S101461,53.58492117,-2.541413672
212,S101463,51.07832735,13.18636527
213,S101482,50.37774,13.57913
214,S101471,31.318804,120.80217
215,S101476,31.312422,120.80204
216,S101470,23.355686,113.148636
217,S101479,23.176413,113.63629
218,S101472,31.189804,121.14807
219,S101460,28.2,112.96667
220,S101477,31.605934,120.67975
221,S101468,13.62289242,101.3175562
222,S101475,14.94492912,102.0886731
223,S101464,13.429656,101.032357
224,S101496,36.38245405,139.7340956
225,S101497,36.54859599,140.6351811
226,S101502,35.78478681,139.3063514
227,S101558,31.242021,121.611804
228,S101562,13.84399641,101.7771233
229,S101563,14.35377996,100.7046239
230,S100499,37.64220488,140.9573658
231,S100501,35.59276116,138.5348727
232,S100502,36.5101013,140.6234657
