No.    company                                               Stars
149    Education Design Lab.Inc.-------------------------      1  
150    Eduscape Partners LLC​----------------------------      1  
151    obriantgroup.com----------------------------------      1  
152    PA CONSULTING GROUP-------------------------------      0  
153    Infosys Limited-----------------------------------      0  
154    Cognizant-----------------------------------------      0  
155    Nordcloud Oy--------------------------------------      0  
156    Taos----------------------------------------------      0  
157    oXya Corporation----------------------------------      0  
158    My G SAS------------------------------------------      0  
